mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	articulation	tempo	qpm	metronome_base	metronome_number	tempo_visible	slur
1	0	0	0	0.0	0	1/2	Tempo	3/4	1	1	0					𝅘𝅥=120	120.0	𝅘𝅥	120.0	0.0	
1	0	0	0	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	0							
2	1	1	1	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	1	articAccentAbove						0
2	1	2	2	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	2							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	3	articStaccatoAbove						
2	1	1	1	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	4							
2	1	2	2	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	5							
2	1	3	3	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	6							
3	2	4	4	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	7							1
3	2	11/2	11/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	8							1
3	2	6	6	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	9							1
3	2	13/2	13/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	10							
3	2	4	4	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	11							
3	2	5	5	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	12							
3	2	6	6	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	13							
4	3	7	7	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	14							2
4	3	8	8	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	15							
4	3	9	9	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	16	articStaccatoAbove						
4	3	7	7	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	17							
4	3	8	8	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	18							
4	3	9	9	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	19							
5	4	10	10	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	20							3
5	4	23/2	23/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	21							3
5	4	12	12	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	22							3
5	4	25/2	25/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	23							
5	4	10	10	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	24							
5	4	11	11	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	25							
5	4	12	12	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	26							
6	5	13	13	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	27							4
6	5	14	14	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	28							
6	5	15	15	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	29	articStaccatoAbove						
6	5	13	13	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	30							
6	5	14	14	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	31							
6	5	15	15	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	32							
7	6	16	16	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	33	articAccentAbove						5
7	6	35/2	35/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	34							5
7	6	18	18	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	35							5
7	6	37/2	37/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	36							
7	6	16	16	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	37							
7	6	17	17	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	38							
7	6	18	18	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	39							
8	7	19	19	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	40	articAccentAbove						6
8	7	41/2	41/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	41							6
8	7	21	21	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	42							6
8	7	43/2	43/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	43							
8	7	19	19	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	44							
8	7	20	20	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	45							
8	7	21	21	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	46							
9	8	22	22	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	47							
9	8	22	22	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	48							
9	8	23	23	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	49							
10	8	24	24	1.0	0	1/2	Chord	3/4	1	1	1/4	1/4	1	50							
11	9	25	25	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	51	articAccentAbove						7
11	9	26	26	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	52							
11	9	27	27	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	53	articStaccatoBelow						
11	9	25	25	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	54							
11	9	26	26	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	55							
11	9	27	27	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	56							
12	10	28	28	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	57	articAccentAbove						8
12	10	29	29	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	58							8
12	10	59/2	59/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	59							8
12	10	30	30	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	60							
12	10	28	28	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	61							
12	10	29	29	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	62							
12	10	30	30	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	63							
13	11	31	31	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	64	articAccentAbove						9
13	11	32	32	1.0	1/4	1/4	Chord	3/4	1	1	1/4	1/4	1	65							
13	11	33	33	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	66	articStaccatoBelow						
13	11	31	31	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	67							
13	11	32	32	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	68							
13	11	33	33	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	69							
14	12	34	34	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	70	articAccentAbove						10
14	12	35	35	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	71							10
14	12	71/2	71/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	72							10
14	12	36	36	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	73							
14	12	34	34	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	74							
14	12	35	35	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	75							
14	12	36	36	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	76							
15	13	37	37	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	77	articAccentAbove						11
15	13	38	38	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	78							11
15	13	77/2	77/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	79							11
15	13	39	39	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	80							11
15	13	79/2	79/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	81							
15	13	37	37	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	82							
15	13	38	38	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	83							
15	13	39	39	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	84							
16	14	40	40	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	85	articAccentAbove						12
16	14	83/2	83/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	86							12
16	14	42	42	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	87							12
16	14	85/2	85/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	88							
16	14	40	40	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	89							
16	14	41	41	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	90							
16	14	42	42	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	91							
17	15	43	43	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	92	articAccentAbove						13
17	15	89/2	89/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	93							13
17	15	45	45	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	94							13
17	15	91/2	91/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	95							
17	15	43	43	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	96							
17	15	44	44	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	97							
17	15	45	45	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	98							
18	16	46	46	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	99							
18	16	46	46	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	100							
18	16	47	47	1.0	1/4	1/4	Chord	3/4	2	1	1/4	1/4	1	101							
