mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	timesig	staff	voice	label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note
1	0	0	0	4.0	0	1/2	3/4	2	1	a.i{	a	i		i		i						{	m	1	1	0, -3, 1		0	0
3	2	4	4	3.0	0	0	3/4	2	1	i6	a	i		i6		i		6					m	1	1	-3, 1, 0		0	-3
4	3	7	7	3.0	0	0	3/4	2	1	V43	a	i		V43		V		43					Mm7	1	1	2, -1, 1, 5		1	2
5	4	10	10	3.0	0	0	3/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
6	5	13	13	3.0	0	0	3/4	2	1	i	a	i		i		i							m	1	1	0, -3, 1		0	0
7	6	16	16	2.0	0	0	3/4	2	1	VI(v7)	a	i		VI(v7)		VI			v7				M	1	1	-4, 0, -3		-4	-4
7	6	18	18	1.0	1/2	1/2	3/4	2	1	Ger	a	i		Ger	Ger	vii	o	65	b3	V			Ger	1	1	-4, 0, -3, 6		6	-4
8	7	19	19	2.0	0	0	3/4	2	1	V(64)	a	i		V(64)		V			64				M	1	1	1, 0, -3		1	1
8	7	21	21	1.0	1/2	1/2	3/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
9	8	22	22	3.0	0	0	3/4	2	1	i|PAC}	a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
10	8	24	24	0.0	0	1/2	3/4	2	1	{	a	i										{		1	1				
11	9	25	25	3.0	0	0	3/4	2	1	#viio65	a	i		#viio65		#vii	o	65					o7	1	1	2, -1, -4, 5		5	2
12	10	28	28	3.0	0	0	3/4	2	1	#viio43	a	i		#viio43		#vii	o	43					o7	1	1	-1, -4, 5, 2		5	-1
13	11	31	31	3.0	0	0	3/4	2	1	Fr	a	i		Fr	Fr	V		43	b5	V			Fr	1	1	-4, 0, 2, 6		2	-4
14	12	34	34	3.0	0	0	3/4	2	1	V|HC}	a	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
14	12	36	36	0.0	1/2	1/2	3/4	2	1	{	a	i										{		1	1				
15	13	37	37	3.0	0	0	3/4	2	1	bII7	a	i		bII7		bII		7					Mm7	1	1	-5, -1, -4, -7		-5	-5
16	14	40	40	3.0	0	0	3/4	2	1	bII65	a	i		bII65		bII		65					Mm7	1	1	-1, -4, -7, -5		-5	-1
17	15	43	43	3.0	0	0	3/4	2	1	Fr	a	i		Fr	Fr	V		43	b5	V			Fr	1	1	-4, 0, 2, 6		2	-4
18	16	46	46	6.0	0	0	3/4	2	1	V|HC}	a	i		V		V					HC	}	M	1	1	1, 5, 2		1	1
18	16	48	48	0.0	1/2	1/2	3/4	2	1	{	a	i										{		1	1				
20	18	52	52	3.0	0	0	3/4	2	1	#viio7/iv	a	i		#viio7/iv		#vii	o	7		iv			o7	1	1	4, 1, -2, -5		4	4
21	19	55	55	3.0	0	0	3/4	2	1	iv	a	i		iv		iv							m	1	1	-1, -4, 0		-1	-1
22	20	58	58	3.0	0	0	3/4	2	1	viio7/III	a	i		viio7/III		vii	o	7		III			o7	1	1	2, -1, -4, -7		2	2
23	21	61	61	3.0	0	0	3/4	2	1	III	a	i		III		III							M	1	1	-3, 1, -2		-3	-3
24	22	64	64	3.0	0	0	3/4	2	1	i	a	i		i		i							m	1	1	0, -3, 1		0	0
25	23	67	67	3.0	0	0	3/4	2	1	V7	a	i		V7		V		7					Mm7	1	1	1, 5, 2, -1		1	1
26	24	70	70	2.0	0	0	3/4	2	1	i|PAC}	a	i		i		i					PAC	}	m	1	1	0, -3, 1		0	0
